comprimento;suplemento;dose
4,2;Vitamina C;0,5
11,5;Vitamina C;0,5
7,3;Vitamina C;0,5
5,8;Vitamina C;0,5
6,4;Vitamina C;0,5
10,0;Vitamina C;0,5
11,2;Vitamina C;0,5
11,2;Vitamina C;0,5
5,2;Vitamina C;0,5
7,0;Vitamina C;0,5
16,5;Vitamina C;1,0
16,5;Vitamina C;1,0
15,2;Vitamina C;1,0
17,3;Vitamina C;1,0
22,5;Vitamina C;1,0
17,3;Vitamina C;1,0
13,6;Vitamina C;1,0
14,5;Vitamina C;1,0
18,8;Vitamina C;1,0
15,5;Vitamina C;1,0
23,6;Vitamina C;2,0
18,5;Vitamina C;2,0
33,9;Vitamina C;2,0
25,5;Vitamina C;2,0
26,4;Vitamina C;2,0
32,5;Vitamina C;2,0
26,7;Vitamina C;2,0
21,5;Vitamina C;2,0
23,3;Vitamina C;2,0
29,5;Vitamina C;2,0
15,2;Suco de laranja;0,5
21,5;Suco de laranja;0,5
17,6;Suco de laranja;0,5
9,7;Suco de laranja;0,5
14,5;Suco de laranja;0,5
10,0;Suco de laranja;0,5
8,2;Suco de laranja;0,5
9,4;Suco de laranja;0,5
16,5;Suco de laranja;0,5
9,7;Suco de laranja;0,5
19,7;Suco de laranja;1,0
23,3;Suco de laranja;1,0
23,6;Suco de laranja;1,0
26,4;Suco de laranja;1,0
20,0;Suco de laranja;1,0
25,2;Suco de laranja;1,0
25,8;Suco de laranja;1,0
21,2;Suco de laranja;1,0
14,5;Suco de laranja;1,0
27,3;Suco de laranja;1,0
25,5;Suco de laranja;2,0
26,4;Suco de laranja;2,0
22,4;Suco de laranja;2,0
24,5;Suco de laranja;2,0
24,8;Suco de laranja;2,0
30,9;Suco de laranja;2,0
26,4;Suco de laranja;2,0
27,3;Suco de laranja;2,0
29,4;Suco de laranja;2,0
23,0;Suco de laranja;2,0
